Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
307,JaVale McGee,C,36,SAC,33,0,8.2,1.9,3.0,.636,0.0,0.1,.000,1.9,2.9,.656,.636,0.8,1.2,.625,1.0,2.0,3.0,0.4,0.2,0.6,0.9,1.2,4.6,mcgeeja01
308,Bryce McGowens,SG,21,CHO,35,10,16.5,1.8,4.0,.450,0.7,1.9,.373,1.1,2.1,.521,.539,0.8,1.1,.744,0.3,1.4,1.7,0.9,0.3,0.1,0.6,1.4,5.1,mcgowbr01
309,Jordan McLaughlin,PG,27,MIN,24,0,8.8,0.9,2.3,.393,0.5,1.3,.367,0.5,1.1,.423,.491,0.1,0.3,.500,0.3,0.7,1.0,1.8,0.7,0.2,0.3,0.4,2.4,mclaujo01
310,De'Anthony Melton,SG,25,PHI,33,33,29.1,3.9,9.9,.393,2.1,5.8,.363,1.8,4.1,.437,.500,1.9,2.3,.827,0.8,3.2,4.0,3.2,1.6,0.5,1.2,2.4,11.8,meltode01
311,Nathan Mensah,C,25,CHO,19,0,13.7,0.5,1.2,.435,0.0,0.0,,0.5,1.2,.435,.435,0.5,0.6,.750,1.3,1.7,3.0,0.5,0.3,0.6,0.7,2.9,1.5,mensana01
312,Sam Merrill,SG,27,CLE,28,0,16.6,3.0,6.9,.430,2.5,5.9,.428,0.4,1.0,.444,.614,0.4,0.4,.909,0.5,1.6,2.1,1.6,0.3,0.0,0.4,1.3,8.8,merrisa01
313,Chimezie Metu,C,26,PHO,34,5,12.7,1.9,3.7,.508,0.4,1.5,.294,1.4,2.2,.653,.567,1.1,1.3,.884,0.7,2.4,3.1,0.5,0.5,0.3,0.7,1.1,5.3,metuch01
314,Vasilije Micić,PG,30,OKC,25,0,12.1,1.2,3.0,.413,0.4,1.4,.250,0.9,1.6,.564,.473,0.4,0.6,.786,0.0,0.7,0.8,2.4,0.4,0.1,0.8,0.9,3.3,micicva01
315,Khris Middleton,SF,32,MIL,39,39,26.1,5.6,11.7,.482,1.7,4.5,.373,3.9,7.2,.552,.555,1.9,2.3,.835,0.6,3.7,4.3,5.0,0.9,0.3,2.1,2.3,14.9,middlkh01
316,Brandon Miller,SF,21,CHO,37,31,30.4,5.5,12.7,.433,2.1,5.5,.387,3.4,7.2,.468,.517,1.6,2.0,.813,0.9,3.1,3.9,2.2,0.6,0.5,1.6,2.6,14.8,millebr02
317,Jordan Miller,SF,24,LAC,4,0,4.0,0.8,1.3,.600,0.3,0.3,1.000,0.5,1.0,.500,.700,0.0,0.0,,0.5,0.3,0.8,0.0,0.0,0.0,0.3,0.5,1.8,millejo02
318,Leonard Miller,SF,20,MIN,5,0,3.8,1.2,1.8,.667,0.2,0.6,.333,1.0,1.2,.833,.722,0.0,0.0,,0.0,1.8,1.8,0.2,0.2,0.2,0.2,0.6,2.6,millele01
319,Dariq Whitehead,SF,19,BRK,2,0,12.0,0.5,2.5,.200,0.0,1.5,.000,0.5,1.0,.500,.200,0.5,1.0,.500,0.0,2.0,2.0,1.5,0.0,0.5,0.0,0.0,1.5,whiteda01
320,Patty Mills,PG,35,ATL,14,0,11.4,1.3,3.0,.429,0.9,1.9,.481,0.4,1.1,.333,.583,0.0,0.0,,0.2,0.7,0.9,0.9,0.4,0.1,0.5,1.1,3.5,millspa02
321,Shake Milton,SG,27,MIN,35,0,13.3,1.7,4.3,.396,0.4,1.5,.250,1.3,2.8,.474,.440,1.0,1.3,.818,0.2,1.2,1.4,1.4,0.5,0.1,0.8,1.2,4.8,miltosh01
322,Justin Minaya,SF,24,POR,12,0,9.6,0.5,1.7,.300,0.3,1.1,.231,0.3,0.6,.429,.375,0.3,0.5,.500,0.4,0.7,1.1,0.4,0.3,0.4,0.3,0.8,1.5,minayju01
323,Josh Minott,SF,21,MIN,15,0,3.1,0.5,1.2,.444,0.0,0.3,.000,0.5,0.9,.615,.444,0.7,0.8,.833,0.1,0.1,0.2,0.2,0.1,0.2,0.1,0.4,1.7,minotjo01
324,Davion Mitchell,PG,25,SAC,33,3,12.5,1.4,3.8,.371,0.5,1.9,.266,0.9,1.8,.483,.440,0.4,0.5,.722,0.2,0.8,1.0,1.8,0.2,0.1,0.5,1.1,3.7,mitchda01
325,Donovan Mitchell,SG,27,CLE,34,34,35.6,9.7,21.1,.460,3.1,9.0,.349,6.6,12.1,.543,.534,5.2,6.0,.863,1.0,4.5,5.5,6.1,1.9,0.4,2.9,2.2,27.7,mitchdo01
326,Evan Mobley,PF,22,CLE,21,21,33.6,6.8,11.8,.573,0.1,0.5,.200,6.7,11.3,.588,.577,2.4,3.1,.769,2.7,7.8,10.5,2.9,0.8,1.7,2.3,2.9,16.0,mobleev01
